pdb_id,bin,method,resolution_range,chiralfold_rama_outlier_pct,wwpdb_rama_outlier_pct
6EKX,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
8GKO,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.27,0.0
2PND,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
8GOH,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
5R23,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
2PFH,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.32,0.0
5R1T,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
5MB3,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.3,0.0
5R2C,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.3,0.0
8HJX,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
5R25,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.3,0.0
2P4T,xray_ultra,X-RAY DIFFRACTION,<= 1.20,1.79,0.0
5MNB,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
5M4V,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
1M5A,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
5QUK,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
8GL5,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
6DIY,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
6DYF,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
1M2D,xray_ultra,X-RAY DIFFRACTION,<= 1.20,1.52,0.51
8GD2,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
1N55,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
2OFM,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.55,0.55
6DBC,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
5R24,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.3,0.0
1ME3,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.48,0.0
5QI3,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
1N4U,xray_ultra,X-RAY DIFFRACTION,<= 1.20,1.01,0.2
5MNO,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
8H5K,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.39,0.0
1NH0,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
8GKB,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
5M3W,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.57,0.0
